NAME,TYPE,LOCATION,RESOURCE LINK
"nsg-29670","Network security group","East US","https://portal.azure.com#resource/subscriptions/9734ed68-621d-47ed-babd-269110dbacb1/resourceGroups/610-9a9c3401-implement-and-configure-private-dns-i/providers/Microsoft.Network/networkSecurityGroups/nsg-29670"
"pip-29670","Public IP address","East US","https://portal.azure.com#resource/subscriptions/9734ed68-621d-47ed-babd-269110dbacb1/resourceGroups/610-9a9c3401-implement-and-configure-private-dns-i/providers/Microsoft.Network/publicIPAddresses/pip-29670"
"rt-spoke-forced-routing","Route table","East US","https://portal.azure.com#resource/subscriptions/9734ed68-621d-47ed-babd-269110dbacb1/resourceGroups/610-9a9c3401-implement-and-configure-private-dns-i/providers/Microsoft.Network/routeTables/rt-spoke-forced-routing"
"server-vm-29670","Virtual machine","East US","https://portal.azure.com#resource/subscriptions/9734ed68-621d-47ed-babd-269110dbacb1/resourceGroups/610-9a9c3401-implement-and-configure-private-dns-i/providers/Microsoft.Compute/virtualMachines/server-vm-29670"
"server-vm-29670_disk1_31db8563aaf04cf48fd8f7d7bdfe870c","Disk","East US","https://portal.azure.com#resource/subscriptions/9734ed68-621d-47ed-babd-269110dbacb1/resourceGroups/610-9A9C3401-IMPLEMENT-AND-CONFIGURE-PRIVATE-DNS-I/providers/Microsoft.Compute/disks/server-vm-29670_disk1_31db8563aaf04cf48fd8f7d7bdfe870c"
"servernic-29670","Network Interface","East US","https://portal.azure.com#resource/subscriptions/9734ed68-621d-47ed-babd-269110dbacb1/resourceGroups/610-9a9c3401-implement-and-configure-private-dns-i/providers/Microsoft.Network/networkInterfaces/servernic-29670"
"user-vm-29670","Virtual machine","East US","https://portal.azure.com#resource/subscriptions/9734ed68-621d-47ed-babd-269110dbacb1/resourceGroups/610-9a9c3401-implement-and-configure-private-dns-i/providers/Microsoft.Compute/virtualMachines/user-vm-29670"
"user-vm-29670_disk1_dc53f2b2e6564226a1a53223f4f88fce","Disk","East US","https://portal.azure.com#resource/subscriptions/9734ed68-621d-47ed-babd-269110dbacb1/resourceGroups/610-9A9C3401-IMPLEMENT-AND-CONFIGURE-PRIVATE-DNS-I/providers/Microsoft.Compute/disks/user-vm-29670_disk1_dc53f2b2e6564226a1a53223f4f88fce"
"usernic-29670","Network Interface","East US","https://portal.azure.com#resource/subscriptions/9734ed68-621d-47ed-babd-269110dbacb1/resourceGroups/610-9a9c3401-implement-and-configure-private-dns-i/providers/Microsoft.Network/networkInterfaces/usernic-29670"
"vm-router-01","Virtual machine","East US","https://portal.azure.com#resource/subscriptions/9734ed68-621d-47ed-babd-269110dbacb1/resourceGroups/610-9a9c3401-implement-and-configure-private-dns-i/providers/Microsoft.Compute/virtualMachines/vm-router-01"
"vm-router-01346_z1","Network Interface","East US","https://portal.azure.com#resource/subscriptions/9734ed68-621d-47ed-babd-269110dbacb1/resourceGroups/610-9a9c3401-implement-and-configure-private-dns-i/providers/Microsoft.Network/networkInterfaces/vm-router-01346_z1"
"vm-router-01_OsDisk_1_8ca876f744594d0bb015786b00a11b69","Disk","East US","https://portal.azure.com#resource/subscriptions/9734ed68-621d-47ed-babd-269110dbacb1/resourceGroups/610-9A9C3401-IMPLEMENT-AND-CONFIGURE-PRIVATE-DNS-I/providers/Microsoft.Compute/disks/vm-router-01_OsDisk_1_8ca876f744594d0bb015786b00a11b69"
"vm-spoke-01","Virtual machine","East US","https://portal.azure.com#resource/subscriptions/9734ed68-621d-47ed-babd-269110dbacb1/resourceGroups/610-9a9c3401-implement-and-configure-private-dns-i/providers/Microsoft.Compute/virtualMachines/vm-spoke-01"
"vm-spoke-01472_z1","Network Interface","East US","https://portal.azure.com#resource/subscriptions/9734ed68-621d-47ed-babd-269110dbacb1/resourceGroups/610-9a9c3401-implement-and-configure-private-dns-i/providers/Microsoft.Network/networkInterfaces/vm-spoke-01472_z1"
"vm-spoke-01_OsDisk_1_e1b6e7e59c1644ae9c77d8d53290032c","Disk","East US","https://portal.azure.com#resource/subscriptions/9734ed68-621d-47ed-babd-269110dbacb1/resourceGroups/610-9A9C3401-IMPLEMENT-AND-CONFIGURE-PRIVATE-DNS-I/providers/Microsoft.Compute/disks/vm-spoke-01_OsDisk_1_e1b6e7e59c1644ae9c77d8d53290032c"
"vnet-29670","Virtual network","East US","https://portal.azure.com#resource/subscriptions/9734ed68-621d-47ed-babd-269110dbacb1/resourceGroups/610-9a9c3401-implement-and-configure-private-dns-i/providers/Microsoft.Network/virtualNetworks/vnet-29670"
"vnet-hub-az104","Virtual network","East US","https://portal.azure.com#resource/subscriptions/9734ed68-621d-47ed-babd-269110dbacb1/resourceGroups/610-9a9c3401-implement-and-configure-private-dns-i/providers/Microsoft.Network/virtualNetworks/vnet-hub-az104"
"vnet-spoke-az104","Virtual network","East US","https://portal.azure.com#resource/subscriptions/9734ed68-621d-47ed-babd-269110dbacb1/resourceGroups/610-9a9c3401-implement-and-configure-private-dns-i/providers/Microsoft.Network/virtualNetworks/vnet-spoke-az104"
